"Number","Genebank","Genebank.ID","Species.code","Species","GPS","GPS.1","GPS.2","GPS.3","Place","Province","COUNTRY","Description","Date.of.collecton","Elevation","Ploidy","gps.lat","gps.lon","gps.elevation"
553,"CGN",18356,"CHN","chancayense",NA,NA,NA,NA,"D. Lima","P. Chancay","PER","Lomas de Lachay",NA,200,"24",NA,NA,NA
554,"CGN",22718,"STO","stoloniferum",-11.35,"1121S",-773.833,"07723W","D. Lima","P. Chancay","PER","Loma Lachay",NA,NA,"24",-11.35,-77.3833333333333,333.441802978516
555,"CGN",960028,"CHM","chomatophilum",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
556,"CGN",961684,"CHM","chomatophilum",-70.833,"0705S",-785.833,"07835W","D. Cajamarca","P. Cajamarca","PER","Hacienda Porcon, surroundings of the farmhouse","29/03/64",3000,"24",-7.08333333333333,-78.5833333333333,3207.74462890625
557,"CGN",18037,"CHM","chomatophilum",-66.833,"0641S",-777.833,"07747W","D. Amazonas","P. Chachapoyas","PER","Cerro de Leimebamba",NA,NA,"24",-6.68333333333333,-77.7833333333333,2517.45434570312
558,"CGN",17712,"CHM","chomatophilum",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
559,"CGN",20574,"CHM","chomatophilum",-70.833,"0705S",-785.833,"07835W","D. Cajamarca","P. Cajamarca","PER","Cerro Entenador, highlands of Hacienda Porcon","21/05/52",NA,"24",-7.08333333333333,-78.5833333333333,3207.74462890625
560,"CGN",21372,"CHM","chamatophilum",-108.833,"1053S",-75.95,"07557W","D. Junin","P. Junin","PER","Cerro Huishca. Enroute to Paucartambo",NA,3550,"24",-10.8833333333333,-75.95,4210.20166015625
561,"CGN",962587,"BER","berthaultii",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
562,"CGN",17713,"CHM","chomatophilum",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
563,"CGN",961984,"CRC","circaeifolium",-156.666,"1540S",-686.166,"06837W","D. La Paz","P. Larecaja","BOL","12 km from Sorata on higher altitude road to Tacacoma","04/03/80",3300,"24",-15.6666666666667,-68.6166666666667,4768.2607421875
564,"CGN",18133,"CRC","circaeifolium",-157.833,"1547S",-686.666,"06840W","D. La Paz","P. Larecaja","BOL","5 km from Sorata to Achachachi","05/03/80",2800,"24",-15.7833333333333,-68.6666666666667,3076.74609375
565,"CGN",20643,"QUM","circaeifolium quimense",-177.666,"1746S",-646.833,"06441W","D. Cochabamba","P. Carrasco","BOL","204 km from Cochabamba on the road to Santa Cruz","02/03/80",2650,"24",-17.7666666666667,-64.6833333333333,1713.1748046875
566,"CGN",22767,"QUM","circaeifolium quimense",-171.166,"1707S",-669.333,"06656W","D. Cochabamba","P. Ayopaya","BOL","Near Independencia, by the path","11/03/80",2750,"24",-17.1166666666667,-66.9333333333333,2202.89038085938
567,"CGN",18158,"QUM","circaeifolium quimense",-17.05,"1703S",-67.3,"06718W","D. La Paz","P. Inquisivi","BOL","5 km from Quime on road to Caxata","26/03/80",3350,"24",-17.05,-67.3,4644.1904296875
568,"CGN",962759,"CLR","clarum",150.666,"1504N",-915.666,"09134W","D. Totonicapan",NA,"GTM","4.1 km E of town square of Calel, on road to the Panamerican Highway","20/09/95",3020,"24",15.0666666666667,-91.5666666666667,3158.08715820312
569,"CGN",962765,"CLR","clarum",151.666,"1510N",-91.95,"09157W","D. San Marcos",NA,"GTM","1.0 km NW of town square of Ixchiguan on toad to Tacana, ca 50 km N of road","24/09/95",3380,"24",15.1666666666667,-91.95,3237.267578125
570,"CGN",962773,"CLR","clarum",148.666,"1452N",-912.333,"09114W","D. Totonicapan",NA,"GTM","along old road from Los Encuentros to Totonicapan, 2 km W","12/10/95",3260,"24",14.8666666666667,-91.2333333333333,3152.1767578125
571,"CGN",962787,"CLR","clarum",154.833,"1529N",-915.166,"09131W","D. Huehuetenango",NA,"GTM","31 km N of town square of Huehuetenango, on Road 9N, 3.5 km N of road jct","24/10/95",3500,"24",15.4833333333333,-91.5166666666667,3493.36840820312
572,"CGN",20557,"COP","coelestipetalum",-13.3,"1318S",-72.1,"07206W","D. Cusco","P. Urubamba","PER","Salapunco, Urubamba valley","21/04/59",2500,"24",-13.3,-72.1,3001.50048828125
573,"CGN",18287,"COL","colombianum",2.35,"0221N",-763.333,"07620W","D. Cauca","P. Totoro","COL","Paramo. 27 km from Purace on the road to Moscopan","11/04/58",NA,"48",2.35,-76.3333333333333,3472.40625
574,"CGN",18289,"COL","colombianum",NA,NA,NA,NA,NA,NA,"COL",NA,NA,NA,"48",NA,NA,NA
575,"CGN",961592,"CMM","commersonii",-378.166,"3749S",-582.166,"05813W","P. Buenos Aires","D. Balcarce","ARG","Near Balcarce, Sierra de Bachicha","23/07/72",150,"24",-37.8166666666667,-58.2166666666667,112.080871582031
576,"CGN",961597,"CMM","commersonii",-380.833,"3805S",-576.166,"05737W","P. Buenos Aires","D. General Pueyrredon","ARG","Mar del Plata, Parque Peralta Ramos.Calle Acha y 61 (B. Lynch)","23/11/73",30,"24",-38.0833333333333,-57.6166666666667,33.5600433349609
577,"CGN",18027,"CMM","commersonii",-37.45,"3727S",-585.666,"05834W","P. Buenos Aires","D. Balcarce","ARG","Estancia Arroyo Grande, 45 km N of Balcarce on route 55","01/04/76",50,"24",-37.45,-58.5666666666667,98.0565185546875
578,"CGN",22351,"CMM","commersonii",-330.333,"3302S",-585.333,"05832W","P. Entre Rios","D. Gualeguaychu","ARG","Gualeguaychu","19/06/80",20,"24",-33.0333333333333,-58.5333333333333,8.43142318725586
579,"CGN",18329,"MLM","commersonii malmeanum",NA,NA,NA,NA,NA,NA,"URY",NA,NA,NA,"24",NA,NA,NA
580,"CGN",18025,"MLM","commersonii malmeanum",-295.666,"2934S",-575.333,"05732W","P. Corrientes","D. Mercedes","ARG","Route 23, 63 km del cruce a Mercedes y a 300 m anter de lleger. Paso Libre","05/11/73",56,"24",-29.5666666666667,-57.5333333333333,56
581,"CGN",18215,"MLM","commersonii malmeanum",-30.2,"3012S",-57.7,"05742W","P. Corrientes","D. Monte Caseros","ARG","Route 14, 1 km from Monte Caseros","24/06/80",50,"24",-30.2,-57.7,57.426586151123
582,"CGN",17797,"DMS","demissum",196.833,"1941N",-100.85,"10051W","E. Michoacan",NA,"MEX","San Jose de las Cumbres","12/12/47",NA,"72",19.6833333333333,-100.85,2829.86401367188
583,"CGN",23779,"DMS","demissum",19.25,"1915N",-991.666,"09910W","E. Distrito Federal",NA,"MEX","Near Las Cruces","28/12/47",NA,"72",19.25,-99.1666666666667,2459.8896484375
584,"CGN",17794,"DMS","demissum",196.166,"1937N",-981.166,"09807W","E. Tlaxcala",NA,"MEX","Above San Agustin Tlaxco, Mt Cuyuaguen","07/01/48",NA,"72",19.6166666666667,-98.1166666666667,2559.7421875
585,"CGN",18302,"DMS","demissum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"72",NA,NA,NA
586,"CGN",22378,"DMS","demissum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"72",NA,NA,NA
587,"CGN",20570,"DMS","demissum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"72",NA,NA,NA
588,"CGN",20661,"DDS","doddsii",-194.666,"1928S",-641.666,"06410W","D. Chuquisaca","P. Tomina","BOL","41km SE of Padilla town square","20/01/94",2380,"24",-19.4666666666667,-64.1666666666667,2453.95239257812
589,"CGN",18359,"DDS","doddsii",-17,"1700S",-65,"06500W","D. Cochabamba","P. Mizque","BOL","192 km from Sucre, on the road to Epizana","18/03/71",2650,"24",-17,-65,233.804931640625
590,"CGN",960921,"EHR","ehrenbergii",227.833,"2247N",-102.583,"10235W","E. Zacatecas",NA,"MEX","726.5 km from Mexico towards Zacatecas","14/09/49",2100,"24",22.7833333333333,-102.583333333333,2496.75170898438
591,"CGN",17714,"ETB","etuberosum",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,"24",NA,NA,NA
592,"CGN",18288,"ETB","etuberosum",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,"24",NA,NA,NA
593,"CGN",23066,"ETB","etuberosum",-36.9,"3654S",-714.666,"07128W","P. Nuble","D. Pinto","CHL","Las Trancas","08/01/78",1240,"24",-36.9,-71.4666666666667,1535.7177734375
594,"CGN",18242,"ETB","etuberosum",-36.9,"3654S",-71.4,"07124W","P. Nuble","D. Coihueco","CHL","Term. de Chillan","09/01/78",1750,"24",-36.9,-71.4,2055.23999023438
595,"CGN",20648,"ETB","etuberosum",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,"24",NA,NA,NA
596,"CGN",18116,"FEN","fendleri",333.833,"3323N",-108.6,"10836W","E. New Mexico","C. Catron","USA","Mogollon Mountains, Willow Creek, 0.5 mile above the Willow Creek Lodge","03/08/58",2400,"48",33.3833333333333,-108.6,2505.33032226562
597,"CGN",18063,"FEN","fendleri",31.9,"3154N",-109.266,"10916W","E. Arizona","C. Cochise","USA","Chiricahua Mountains, Barfoot Park","04/08/58",2450,"48",31.9,-109.266666666667,2363.45971679688
598,"CGN",17715,"FEN","fendleri",314.333,"3126N",-110.316,"11019W","E. Arizona","C. Cochise","USA","Huachuca Mountains, Ramsey Canon","07/08/58",1750,"48",31.4333333333333,-110.316666666667,2096.12866210938
599,"CGN",18360,"FRN","fernandezianum",NA,NA,NA,NA,"P. Juan Fernandez",NA,"CHL","Isla Robinson Crusoe",NA,150,"24",NA,NA,NA
600,"CGN",18243,"FRN","fernandezianum",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,"24",NA,NA,NA
601,"CGN",962595,"SPEC","species",NA,NA,NA,NA,"D. Cundinamarca",NA,"COL","Usme",NA,NA,"24",NA,NA,NA
602,"CGN",21368,"FRX","fraxinifolium",97.166,"0943N",-84.1,"08406W","P. San Jose",NA,"CRI","about 4km S of La Legua on the road to San Francisco (map 3345 II).","21/12/96",2100,NA,9.71666666666667,-84.1,2009.79992675781
603,"CGN",17590,"GND","gandarillasii",-186.666,"1840S",-651.666,"06510W","D. Cochabamba","P. Campero","BOL","20-24 km from Aiquila to Sucre","11/03/59",2500,"24",-18.6666666666667,-65.1666666666667,1677.53295898438
604,"CGN",22705,"GRL","gourlayi",-22.95,"2257S",-653.833,"06523W","P. Jujuy","D. Humahuaca","ARG","Between Iturbe and Tres Cruses, by railway at km 1313 to 1313.5","19/03/66",3530,"48",-22.95,-65.3833333333333,3432.5341796875
605,"CGN",17591,"GRL","gourlayi",-237.833,"2347S",-65.55,"06533W","P. Jujuy","D. Tumbaya","ARG","Jujuy.  Abre de Tumbaya Grande","20/01/71",1900,"24",-23.7833333333333,-65.55,3515.7685546875
606,"CGN",18039,"GRL","gourlayi",-235.666,"2334S",-654.333,"06526W","P. Jujuy","D. Tilcara","ARG","Sierra de Malpaso, Quebrada de Huichaira, near Tilcara","02/04/71",2850,"48",-23.5666666666667,-65.4333333333333,2943.79931640625
607,"CGN",22380,"GRL","gourlayi",-235.833,"2335S",-653.333,"06520W","P. Jujuy","D. Tilcara","ARG","Casa Colorada, Quebrada del Zorro","15/03/72",3400,"48",-23.5833333333333,-65.3333333333333,3537.16625976562
608,"CGN",961345,"GRL","gourlayi",-236.166,"2337S",-652.666,"06516W","P. Jujuy","D. Tilcara","ARG","Quebrada del Chorro, path from Casa Colorada to Molulo","26/03/72",3900,"48",-23.6166666666667,-65.2666666666667,4300.05712890625
609,"CGN",17592,"GRL","gourlayi",-243.166,"2419S",-66.1,"06606W","P. Salta","D. Rosario de Lerma","ARG","Route 51, Quebrada Munal, 8 km NW of Las Cuevas","21/03/73",3340,"24",-24.3166666666667,-66.1,3839.51171875
610,"CGN",22336,"GRL","gourlayi",-243.333,"2420S",-660.833,"06605W","P. Salta","D. Rosario de Lerma","ARG","5 km NW of Cuevas on route 51, San Antonio de los Cobres","27/03/73",3500,"24",-24.3333333333333,-66.0833333333333,3954.16748046875
611,"CGN",21335,"GRL","gourlayi",-242.666,"2416S",-663.166,"06619W","P. Salta","D. La Poma","ARG","3 km W of San Antonio, route 51, near rio San Antonio de los Cobres","29/03/73",3800,"24",-24.2666666666667,-66.3166666666667,3952.40405273438
612,"CGN",18102,"PTR","gourlayi pachytrichum",-19.6,"1936S",-65.95,"06557W","D. Potosi","P. Frias","BOL","4 km from Hacienda Cayara to Potosi","07/04/74",NA,"24",-19.6,-65.95,4057.58276367188
613,"CGN",18176,"PTR","gourlayi pachytrichum",-18.65,"1839S",-662.666,"06616W","D. Potosi","P. Bustillos","BOL","60 km from Uncia to Macha","21/02/80",3530,"24",-18.65,-66.2666666666667,3726.47485351562
614,"CGN",962184,"PTR","gourlayi pachytrichum",-194.666,"1928S",-65.8,"06548W","D. Potosi","P. Frias","BOL","4 km from Casa Cayara to Potosi on the old road","04/03/80",3350,"24",-19.4666666666667,-65.8,3444.43896484375
615,"CGN",962185,"PTR","gourlayi pachytrichum",-195.333,"1932S",-65.8,"06548W","D. Potosi","P. Frias","BOL","10 km from Casa Cayara to Potosi on the old road","04/03/80",3350,"24",-19.5333333333333,-65.8,3778.02465820312
616,"CGN",18188,"PTR","gourlayi pachytrichum",-19.45,"1927S",-652.166,"06513W","D. Potosi","P. Saavedra","BOL","87 km from Potosi to Sucre","05/03/80",3050,"24",-19.45,-65.2166666666667,2526.11865234375
617,"CGN",960078,"PTR","gourlayi pachytrichum",NA,NA,NA,NA,"D. Potosi","P. Frias","BOL","near Potosi","01/03/59",4000,"48",NA,NA,NA
618,"CGN",962363,"PTR","gourlayi pachytrichum",-193.666,"1922S",-66,"06600W","D. Potosi","P. Frias","BOL","63 km from Potosi to Oruro","01/04/80",3820,"24",-19.3666666666667,-66,4105.4775390625
619,"CGN",17848,"VID","gourlayi vidaurrei",-227.166,"2243S",-65.2,"06512W","P. Salta","D. Iruya","ARG","Salta.  Chiyuyoo","15/02/70",3000,"24",-22.7166666666667,-65.2,3368.490234375
620,"CGN",17849,"VID","gourlayi vidaurrei",-226.833,"2241S",-65.2,"06512W","P. Salta","D. Iruya","ARG","Salta.  Abra Colorada","15/02/70",3400,"24",-22.6833333333333,-65.2,3221.01440429688
621,"CGN",18040,"VID","gourlayi vidaurrei",-22.6,"2236S",-651.666,"06510W","P. Salta","D. Iruya","ARG","Salta.  Road from Molinos","15/02/70",2800,"24",-22.6,-65.1666666666667,2484.07763671875
622,"CGN",17850,"VID","gourlayi vidaurrei",-225.166,"2231S",-65.1,"06506W","P. Salta","D. Santa Victoria","ARG","Salta.  Rio Nazareno","15/02/70",3050,"24",-22.5166666666667,-65.1,3093.55346679688
623,"CGN",18038,"VID","gourlayi vidaurrei",-23.2,"2312S",-65.45,"06527W","P. Jujuy","D. Humahuaca","ARG","Quebrada de la Soledad, 12 km W of Humahuaca","04/03/67",3300,"24",-23.2,-65.45,3617.73779296875
624,"CGN",17864,"VID","gourlayi vidaurrei",-222.666,"2216S",-65.2,"06512W","P. Salta","D. Santa Victoria","ARG","Road to Lizoite, 10 km from junction with route 5, finca Eusebio Condori","22/04/74",3800,"24",-22.2666666666667,-65.2,4157.25244140625
625,"CGN",23024,"VID","gourlayi vidaurrei",-221.833,"2211S",-651.833,"06511W","P. Salta","D. Santa Victoria","ARG","1 km NW of Lizoite, on route 5, where the road narrows and crosses river","23/04/74",3500,"24",-22.1833333333333,-65.1833333333333,4710.6533203125
626,"CGN",23045,"VID","gourlayi vidaurrei",-228.166,"2249S",-652.333,"06514W","P. Salta","D. Iruya","ARG","Quebrada El Volcancito. 2 km from Iruya","23/04/78",3000,"24",-22.8166666666667,-65.2333333333333,3400.10034179688
627,"CGN",960039,"GRR","guerreroense",17.55,"1733N",-99.5,"09930W","E. Guerrero",NA,"MEX","Mountains N of Chilpancingo","27/12/47",NA,"72",17.55,-99.5,1260.00183105469
628,"CGN",17996,"HAN","hannemanii",-23.6,"2336S",-651.333,"06508W","P. Jujuy","D. Tilcara","ARG","Huairahuasi, along the path to Casa Colorado and Molulo","21/03/72",3200,"24",-23.6,-65.1333333333333,1926.16296386719
629,"CGN",17854,"HAN","hannemanii",-23.6,"2336S",-651.333,"06508W","P. Jujuy","D. Tilcara","ARG","Huairahuasi, al otro lado de La Quebreda del Rio Colorado en la senda a Pis","21/03/72",3200,"24",-23.6,-65.1333333333333,1926.16296386719
630,"CGN",17997,"HAN","hannemanii",-236.333,"2338S",-65.1,"06506W","P. Jujuy","D. Tilcara","ARG","piscuno, por la senda de casa colorada a molulo","23/03/72",3100,"24",-23.6333333333333,-65.1,2088.91625976562
631,"CGN",20578,"HAN","hannemanii",NA,NA,NA,NA,"P. Jujuy","D. Tilcara","ARG",NA,NA,NA,"24",NA,NA,NA
632,"CGN",17856,"HAN","hannemanii",NA,NA,NA,NA,"P. Jujuy","D. Tilcara","ARG","1.5 hours by horse W of El Durazno on the road to Tilcara","24/03/72",2800,"24",NA,NA,NA
633,"CGN",17858,"HAN","hannemanii",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
634,"CGN",17888,"HAW","hawkesianum",-251.666,"2510S",-658.666,"06552W","P. Salta","D. Chicoana-San Carlos","ARG","Ruta 59, km 56.5, 1km abaja de La Herradura, 16.5 km W de Hosteria El Maray","04/04/73",3000,"24",-25.1666666666667,-65.8666666666667,3447.75854492188
635,"CGN",17889,"HAW","hawkesianum",-251.666,"2510S",-658.666,"06552W","P. Salta","D. Chicoana-San Carlos","ARG","Cuerta del Obispo, ruta nac. 59, km 58, 1 km above Oka 4913","04/04/73",3200,"24",-25.1666666666667,-65.8666666666667,3447.75854492188
636,"CGN",17890,"HAW","hawkesianum",-251.666,"2510S",-658.666,"06552W","P. Salta","D. Chicoana-San Carlos","ARG","Cuerta del Obispo, ruta nac. 59, km 58, 1 km above Oka 4913","04/04/73",3300,"24",-25.1666666666667,-65.8666666666667,3447.75854492188
637,"CGN",17891,"HAW","hawkesianum",-251.666,"2510S",-658.666,"06552W","P. Salta","D. Chicoana-San Carlos","ARG","Cuerta del Obispo, ruta nac. 59, km 58, 1 km above Oka 4913","04/04/73",3200,"24",-25.1666666666667,-65.8666666666667,3447.75854492188
638,"CGN",17892,"HAW","hawkesianum",-251.666,"2510S",-658.666,"06552W","P. Salta","D. Chicoana-San Carlos","ARG","Ruta nac.59, 14km arriba del pie de la cuesta, 17km w de hosteria El Maray","04/04/73",3400,"24",-25.1666666666667,-65.8666666666667,3447.75854492188
639,"CGN",22369,"HJT","hjertingii",254.166,"2525N",-100.85,"10051W","E. Coahuila",NA,"MEX","Near Saltillo, Municipio Artiaga, Canon de los Lirios, Sierra Madre Orient","12/10/49",2250,"48",25.4166666666667,-100.85,1823.4384765625
640,"CGN",22370,"HJT","hjertingii",254.166,"2525N",-101,"10100W","E. Coahuila",NA,"MEX","Saltillo.  E of Saltillo, Canon de Los Lirios, 4 miles W of Lirios village","23/08/58",2200,"48",25.4166666666667,-101,1621.45520019531
641,"CGN",18345,"HJT","hjertingii",248.666,"2452N",-100.216,"10013W","E. Nuevo Leon",NA,"MEX","Cerro Potosi.   Below Las Canoas on the edge of La Joya de Abajo","25/08/58",2500,"48",24.8666666666667,-100.216666666667,3000.12939453125
642,"CGN",22385,"PTA","papita",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"48",NA,NA,NA
643,"CGN",962453,"HJT","hjertingii",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"48",NA,NA,NA
644,"CGN",961918,"HDM","hondelmannii",-194.666,"1928S",-65.25,"06515W","D. Potosi","P. Saavedra","BOL","68 km from Sucre to Potosi","28/03/74",2350,"24",-19.4666666666667,-65.25,3041.2080078125
645,"CGN",962199,"HDM","hondelmannii",-193.333,"1920S",-647.833,"06447W","D. Chuquisaca","P. Yamparaez","BOL","32 km from Tarabuco to Sotomayor Via Icla","13/03/80",2700,"24",-19.3333333333333,-64.7833333333333,2636.14599609375
646,"CGN",18192,"HDM","hondelmannii",-193.666,"1922S",-647.833,"06447W","D. Chuquisaca","P. Yamparaez","BOL","36 km from Tarabuco on the road to Sotomayor","13/03/80",2590,"24",-19.3666666666667,-64.7833333333333,2457.43115234375
647,"CGN",18193,"HDM","hondelmannii",-193.666,"1922S",-647.833,"06447W","D. Chuquisaca","P. Yamparaez","BOL","36 km from Tarabuco to Sotomayor via Icla","13/03/80",2590,"24",-19.3666666666667,-64.7833333333333,2457.43115234375
648,"CGN",962204,"HDM","hondelmannii",-193.833,"1923S",-647.833,"06447W","D. Chuquisaca","P. Yamparaez","BOL","37 km from Tarabuco to Sotomayor via Icla","13/03/80",2650,"24",-19.3833333333333,-64.7833333333333,2540.76806640625
649,"CGN",18053,"SPEC","species",-195.666,"1934S",-65.8,"06548W","D. Potosi","P. Frias","BOL","27 km from Potosi on the road to Oruro, above Tarapaya","08/03/71",3550,"24",-19.5666666666667,-65.8,3858.48486328125
650,"CGN",18363,"HPS","hoopesii",-19.95,"1957S",-64.45,"06427W","D. Chuquisaca","P. Azurduy","BOL","24.3 km N of town square of Azurduy on road to Tarabuco","16/01/94",2860,"48",-19.95,-64.45,3006.80712890625
651,"CGN",18367,"HPS","hoopesii",-20.1,"2006S",-644.166,"06425W","D. Chuquisaca","P. Azurduy","BOL","Nursery of EstaciÇün Exp. Santa BÇ­rbara, at edge of town of Azurduy","07/03/93",2513,"48",-20.1,-64.4166666666667,2588.697265625
652,"CGN",18368,"HPS","hoopesii",-20.1,"2006S",-64.4,"06424W","D. Chuquisaca","P. Azurduy","BOL","1km N of town square of Azurduy","07/03/93",2481,"48",-20.1,-64.4,2487.72875976562
653,"CGN",18372,"HPS","hoopesii",-20,"20--S",-644.166,"06425W","D. Chuquisaca","P. Azurduy","BOL",NA,"07/03/93",2550,"48",NA,-64.4166666666667,NA
654,"CGN",18339,"HOU","hougasii",19.65,"1939N",-103.633,"10338W","E. Jalisco",NA,"MEX","In thicket on edge of field, near Sayula, Slopes of Volcan de Nevada","18/12/47",NA,"72",19.65,-103.633333333333,2313.4560546875
655,"CGN",21361,"HOU","hougasii",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"72",NA,NA,NA
656,"CGN",962568,"HMP","humectophilum",NA,NA,NA,NA,"D. Amazonas","P. Chachapoyas","PER","Convento",NA,3000,"24",NA,NA,NA
657,"CGN",18077,"INM","incamayoense",-24.75,"2445S",-657.333,"06544W","P. Salta","D. Rosario de Lerma","ARG","Quebrada del Toro, Cebollar","05/04/74",2280,"24",-24.75,-65.7333333333333,2652.7666015625
658,"CGN",21320,"INM","incamayoense",-248.166,"2449S",-65.7,"06542W","P. Salta","D. Rosario de Lerma","ARG","Route 51, km 44-45, between El Alisal and Chorrillos","21/03/73",1900,"24",-24.8166666666667,-65.7,2402.44140625
659,"CGN",17874,"INM","incamayoense",-247.666,"2446S",-657.333,"06544W","P. Salta","D. Rosario de Lerma","ARG","Salta.Quebrada del Toro,Cebollar,about 50km on route 51. Ent.CH. Y Golgata","26/03/73",2200,"24",-24.7666666666667,-65.7333333333333,2424.71264648438
660,"CGN",17875,"INM","incamayoense",-24.75,"2445S",-657.333,"06544W","P. Salta","D. Rosario de Lerma","ARG","Quebrada del Toto, Incamayo, route 51","27/03/73",2280,"24",-24.75,-65.7333333333333,2652.7666015625
661,"CGN",17968,"INM","incamayoense",-247.166,"2443S",-65.75,"06545W","P. Salta","D. Rosario de Lerma","ARG","Quebrada del Toro, El Golgota, route 51 km 59","27/03/73",2320,"24",-24.7166666666667,-65.75,2357.22583007812
662,"CGN",961363,"INM","incamayoense",-246.666,"2440S",-657.666,"06546W","P. Salta","D. Rosario de Lerma","ARG","Quebrada del Toro, Terron Azul, route 59, km 65.5","27/03/73",2500,"24",-24.6666666666667,-65.7666666666667,3190.2451171875
663,"CGN",22335,"INM","incamayoense",-245.166,"2431S",-65.85,"06551W","P. Salta","D. Rosario de Lerma","ARG","Quebrada del Toro, past Puerta de Tastil, route 51. km 87","27/03/73",2700,"24",-24.5166666666667,-65.85,2893.9658203125
664,"CGN",17720,"IFD","infundibuliforme",NA,NA,NA,NA,"D. La Paz",NA,"BOL",NA,NA,NA,"24",NA,NA,NA
665,"CGN",23063,"IFD","infundibuliforme",-19.8,"1948S",-657.333,"06544W","D. Potosi","P. Linares","BOL","31 km from Potosi to Tarija","21/03/80",3800,"24",-19.8,-65.7333333333333,4358.00732421875
666,"CGN",22334,"IFD","infundibuliforme",-23.65,"2339S",-66.3,"06618W","P. Salta","D. La Poma","ARG","7 km W of Quebrada de Cobres, route 40. Ruta Nac. 40 km 1455","30/03/73",3800,"24",-23.65,-66.3,3626.818359375
667,"CGN",23048,"IFD","infundibuliforme",-237.166,"2343S",-656.666,"06540W","P. Jujuy","D. Tumbaya","ARG","Abra de Pibes, route 16, then 34 km W on route 9","05/05/74",3640,"24",-23.7166666666667,-65.6666666666667,4114.6787109375
668,"CGN",960696,"IFD","infundibuliforme",-232.166,"2313S",-65.7,"06542W","P. Jujuy","D. Humahuaca","ARG","Mina Aguilar, near the mill","28/03/52",4100,"24",-23.2166666666667,-65.7,4185.203125
669,"CGN",20562,"AEM","acaule aemulans",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"48",NA,NA,NA
670,"CGN",20561,"IOP","iopetalum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"72",NA,NA,NA
671,"CGN",20572,"IOP","iopetalum",20.25,"2015N",-982.166,"09813W","E. Puebla",NA,"MEX","2-3 km from Honey, on the path N to Tehuatlan, escarpment edge","08/10/58",1950,"72",20.25,-98.2166666666667,2161.5224609375
672,"CGN",962542,"JAM","jamesii",NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,"24",NA,NA,NA
673,"CGN",960923,"JAM","jamesii",NA,NA,NA,NA,"E. New Mexico",NA,"USA","Arizona and New Mexico",NA,NA,"24",NA,NA,NA
674,"CGN",18346,"JAM","jamesii",324.833,"3229N",-108.516,"10831W","E. New Mexico","C. Grant","USA","S end of the Bigg Burro Mountains, Silver City, 17 miles from Lordsburg","03/08/58",1800,"24",32.4833333333333,-108.516666666667,1868.17517089844
675,"CGN",22338,"KTZ","kurtzianum",-303.666,"3022S",-695.833,"06935W","P. San Juan","D. Iglesia","ARG","Penasquito, Riquintin, 5 km N on route 150. km 92.5","14/02/72",2700,"24",-30.3666666666667,-69.5833333333333,3949.03515625
676,"CGN",961563,"KTZ","kurtzianum",-27.9,"2754S",-673.666,"06722W","P. Catamarca","D. Tinogasta-Belen","ARG","Cuesta de Zapata, 7 km from the foot of the Hill. 32kM NE cruce ruta40-60","28/04/73",1840,"24",-27.9,-67.3666666666667,1815.28625488281
677,"CGN",23042,"KTZ","kurtzianum",-287.666,"2846S",-66.4,"06624W","P. La Rioja","D. Capital","ARG","Sierra de Ambato, Quebrada de la Sebila. km 1143 17km","08/05/74",960,"24",-28.7666666666667,-66.4,1162.03100585938
678,"CGN",961013,"KTZ","kurtzianum",-275.833,"2735S",-671.166,"06707W","P. Catamarca","D. Belen","ARG","Finca Molinos.  Bajo cerca de ramas","25/04/75",NA,"24",-27.5833333333333,-67.1166666666667,1910.36950683594
679,"CGN",22721,"LXS","laxissimum",NA,NA,NA,NA,"D. Cusco","P. Urubamba","PER","Stat. Machu Picchu, at the bottom of the valley","18/04/59",2500,"24",NA,NA,NA
680,"CGN",18173,"LPH","leptophyes",-182.333,"1814S",-664.833,"06629W","D. Potosi","P. Ibanez","BOL","1 km from Caripuyo on the road to Llallagua","19/02/80",3250,"24",-18.2333333333333,-66.4833333333333,3459.41528320312
